Link,Point Order,Sub Polygon Id,Usa2163 Id,Distance,Latitude,Longitude,New Latitude,New Longitude,Number of Records,Origin Latitude,Origin Longitude
link,3118,165,5,445.654918297,39.0802,-76.2039,39.0802,-76.2039,1,39,-84.51
link,3119,165,5,445.263394089,39.0518,-76.2125,39.0518,-76.2125,1,39,-84.51
link,3120,165,5,445.585941663,39.0298,-76.2076,39.0298,-76.2076,1,39,-84.51
link,3121,165,5,445.812937549,39.0145,-76.2042,39.0145,-76.2042,1,39,-84.51
link,3122,165,5,445.119854543,39.0131,-76.2172,39.0131,-76.2172,1,39,-84.51
link,3123,165,5,444.136062033,39.0248,-76.2349,39.0248,-76.2349,1,39,-84.51
link,3124,165,5,443.699038708,39.0333,-76.2426,39.0333,-76.2426,1,39,-84.51
link,3125,165,5,444.249417188,39.0583,-76.2311,39.0583,-76.2311,1,39,-84.51
link,3126,165,5,443.910777150,39.0982,-76.2357,39.0982,-76.2357,1,39,-84.51
link,3127,165,5,443.484401299,39.1158,-76.243,39.1158,-76.243,1,39,-84.51
link,3128,165,5,443.485584228,39.1268,-76.2426,39.1268,-76.2426,1,39,-84.51
link,3129,165,5,443.003909382,39.1326,-76.2514,39.1326,-76.2514,1,39,-84.51
link,3130,165,5,441.832194165,39.1516,-76.2727,39.1516,-76.2727,1,39,-84.51
link,3131,165,5,441.814411440,39.168,-76.2726,39.168,-76.2726,1,39,-84.51
link,3132,165,5,442.683818439,39.1885,-76.2559,39.1885,-76.2559,1,39,-84.51
link,3133,165,5,443.813382580,39.2304,-76.2341,39.2304,-76.2341,1,39,-84.51
link,3134,165,5,444.936843712,39.262,-76.2128,39.262,-76.2128,1,39,-84.51
link,3135,165,5,446.653272677,39.2881,-76.1806,39.2881,-76.1806,1,39,-84.51
link,3136,165,5,446.760300421,39.3078,-76.1786,39.3078,-76.1786,1,39,-84.51
link,3137,165,5,446.954034053,39.3162,-76.175,39.3162,-76.175,1,39,-84.51
link,3138,165,5,447.495553784,39.3233,-76.1649,39.3233,-76.1649,1,39,-84.51
link,3139,165,5,448.672370739,39.3266,-76.1429,39.3266,-76.1429,1,39,-84.51
link,3140,165,5,449.181285559,39.3305,-76.1334,39.3305,-76.1334,1,39,-84.51
